city,district,price_in_rp,price_category,land_area,bedrooms,bathrooms
 Bekasi,Summarecon Bekasi,2990000000.0,mahal,239.0,4.0,4.0
 Bekasi,Summarecon Bekasi,1270000000.0,mahal,55.0,3.0,2.0
 Bekasi,Summarecon Bekasi,1950000000.0,mahal,119.0,3.0,3.0
 Bekasi,Summarecon Bekasi,3300000000.0,mahal,180.0,3.0,3.0
 Bekasi,Summarecon Bekasi,4500000000.0,mahal,328.0,4.0,3.0
 Bekasi,Summarecon Bekasi,2700000000.0,mahal,136.0,3.0,3.0
 Bekasi,Summarecon Bekasi,2350000000.0,mahal,144.0,2.0,2.0
 Bekasi,Summarecon Bekasi,4500000000.0,mahal,216.0,4.0,4.0
 Bekasi,Summarecon Bekasi,2900000000.0,mahal,200.0,,3.0
 Bekasi,Summarecon Bekasi,2700000000.0,mahal,136.0,3.0,3.0
 Bekasi,Summarecon Bekasi,2550000000.0,mahal,144.0,3.0,2.0
 Bekasi,Summarecon Bekasi,952000000.0,sedang,55.0,2.0,2.0
 Bekasi,Summarecon Bekasi,1800000000.0,mahal,119.0,2.0,1.0
 Bekasi,Summarecon Bekasi,2350000000.0,mahal,144.0,3.0,3.0
 Bekasi,Summarecon Bekasi,2500000000.0,mahal,144.0,3.0,3.0
 Bekasi,Summarecon Bekasi,2700000000.0,mahal,193.0,3.0,3.0
 Bekasi,Summarecon Bekasi,5360000000.0,mahal,192.0,5.0,4.0
 Bekasi,Summarecon Bekasi,952000000.0,sedang,55.0,2.0,2.0
 Bekasi,Summarecon Bekasi,2250000000.0,mahal,119.0,4.0,3.0
 Bekasi,Summarecon Bekasi,2250000000.0,mahal,119.0,3.0,2.0
 Bekasi,Summarecon Bekasi,2450000000.0,mahal,144.0,3.0,3.0
 Bekasi,Summarecon Bekasi,125000000.0,murah,110.0,3.0,1.0
 Bekasi,Summarecon Bekasi,1980000000.0,mahal,119.0,2.0,2.0
 Bekasi,Summarecon Bekasi,764000000.0,sedang,78.0,3.0,3.0
 Bekasi,Summarecon Bekasi,2000000000.0,mahal,164.0,,
 Bekasi,Summarecon Bekasi,764000000.0,sedang,78.0,3.0,3.0
 Bekasi,Summarecon Bekasi,2350000000.0,mahal,119.0,3.0,2.0
 Bekasi,Summarecon Bekasi,2550000000.0,mahal,144.0,3.0,2.0
 Bekasi,Summarecon Bekasi,480000000.0,murah,55.0,2.0,1.0
 Bekasi,Summarecon Bekasi,1900000000.0,mahal,91.0,2.0,3.0
