Actual,Predicted
mahal,mahal
sedang,sedang
sedang,mahal
mahal,mahal
mahal,mahal
mahal,mahal
mahal,mahal
mahal,mahal
mahal,mahal
mahal,mahal
mahal,mahal
sedang,sedang
sedang,sedang
mahal,mahal
mahal,mahal
mahal,mahal
mahal,mahal
sedang,sedang
mahal,mahal
mahal,sedang
mahal,mahal
murah,sedang
sedang,sedang
murah,murah
mahal,mahal
murah,murah
mahal,mahal
mahal,mahal
murah,murah
sedang,sedang
murah,murah
mahal,mahal
mahal,mahal
mahal,mahal
murah,murah
murah,murah
murah,sedang
murah,murah
murah,murah
mahal,mahal
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
murah,murah
sedang,sedang
mahal,mahal
sedang,sedang
mahal,mahal
mahal,mahal
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,sedang
murah,murah
murah,murah
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
murah,murah
sedang,sedang
murah,murah
sedang,sedang
sedang,murah
murah,sedang
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
murah,murah
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
mahal,mahal
mahal,mahal
sedang,sedang
sedang,mahal
sedang,sedang
murah,murah
sedang,sedang
murah,murah
murah,murah
murah,murah
mahal,mahal
murah,murah
sedang,sedang
murah,murah
sedang,sedang
murah,murah
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
sedang,sedang
murah,murah
sedang,sedang
murah,murah
mahal,mahal
murah,murah
murah,murah
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
mahal,mahal
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
sedang,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
murah,murah
murah,murah
mahal,sedang
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
murah,murah
sedang,murah
murah,murah
sedang,sedang
sedang,sedang
murah,murah
murah,murah
sedang,sedang
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,sedang
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,murah
murah,murah
murah,murah
murah,murah
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
murah,murah
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
murah,murah
sedang,sedang
murah,murah
sedang,sedang
mahal,mahal
sedang,sedang
mahal,mahal
sedang,sedang
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
murah,murah
murah,murah
mahal,mahal
mahal,mahal
mahal,mahal
murah,murah
murah,murah
sedang,sedang
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
mahal,mahal
sedang,sedang
mahal,mahal
mahal,mahal
sedang,murah
mahal,mahal
mahal,mahal
murah,murah
sedang,sedang
murah,murah
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
sedang,sedang
mahal,mahal
murah,murah
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
mahal,mahal
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
sedang,sedang
sedang,sedang
mahal,mahal
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
sedang,sedang
murah,murah
murah,murah
sedang,sedang
mahal,mahal
mahal,mahal
murah,murah
sedang,sedang
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
sedang,sedang
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,sedang
murah,murah
mahal,mahal
sedang,sedang
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
sedang,sedang
mahal,mahal
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
mahal,mahal
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
mahal,mahal
mahal,mahal
mahal,mahal
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
murah,murah
mahal,mahal
mahal,mahal
murah,murah
sedang,murah
mahal,mahal
murah,murah
murah,murah
murah,murah
murah,murah
murah,murah
sedang,sedang
mahal,mahal
murah,murah
murah,murah
sedang,sedang
murah,murah
sedang,sedang
mahal,mahal
mahal,mahal
mahal,mahal
sedang,sedang
mahal,mahal
sedang,sedang
mahal,mahal
mahal,mahal
sedang,sedang
sedang,sedang
murah,murah
murah,murah
murah,murah
sedang,sedang
murah,murah
murah,murah
sedang,sedang
sedang,sedang
sedang,sedang
sedang,sedang
murah,sedang
murah,murah
murah,murah
murah,murah
murah,murah
