Harga Aktual (Rp),Harga Prediksi (Rp),Residual
2990000000.0,3373249000.0,-383249024.0
1270000000.0,1079597700.0,190402304.0
1950000000.0,1963677200.0,-13677184.0
3300000000.0,2925831400.0,374168576.0
4500000000.0,4416706600.0,83293440.0
2700000000.0,2629696000.0,70304000.0
2350000000.0,2108330000.0,241670016.0
4500000000.0,3867006500.0,632993536.0
2900000000.0,2979415300.0,-79415296.0
2700000000.0,2560341200.0,139658752.0
2550000000.0,2696116700.0,-146116736.0
952000000.0,967896450.0,-15896448.0
1800000000.0,1665566100.0,134433920.0
2350000000.0,2412021800.0,-62021760.0
2500000000.0,2602730000.0,-102729984.0
2700000000.0,2627675400.0,72324608.0
5360000000.0,4472572400.0,887427584.0
952000000.0,967896450.0,-15896448.0
2250000000.0,2243210000.0,6790016.0
2250000000.0,1736734300.0,513265664.0
2450000000.0,2377799400.0,72200576.0
125000000.0,222537860.0,-97537856.0
1980000000.0,1561550800.0,418449152.0
764000000.0,834318460.0,-70318464.0
2000000000.0,1936292400.0,63707648.0
764000000.0,834318460.0,-70318464.0
2350000000.0,1864061600.0,485938432.0
2550000000.0,2642920400.0,-92920448.0
480000000.0,476913300.0,3086688.0
1900000000.0,1749444500.0,150555520.0
300000000.0,311405440.0,-11405440.0
5270000000.0,3847150600.0,1422849408.0
2800000000.0,1983598200.0,816401792.0
2710000000.0,2119203500.0,590796544.0
500000000.0,512879520.0,-12879520.0
439000000.0,381526660.0,57473344.0
800000000.0,899237570.0,-99237568.0
850000000.0,1117871200.0,-267871232.0
700000000.0,917447550.0,-217447552.0
4950000000.0,5055238700.0,-105238656.0
1300000000.0,1359698800.0,-59698816.0
1200000000.0,1255560100.0,-55560064.0
2650000000.0,2633485600.0,16514432.0
1300000000.0,1359698800.0,-59698816.0
1300000000.0,1359698800.0,-59698816.0
1300000000.0,1396652900.0,-96652928.0
425000000.0,497978620.0,-72978624.0
280000000.0,351949730.0,-71949728.0
999000000.0,1149017500.0,-150017472.0
5750000000.0,5131127000.0,618873216.0
1500000000.0,1148750200.0,351249792.0
6800000000.0,6456678400.0,343321600.0
3000000000.0,3383817200.0,-383817216.0
168000000.0,167477800.0,522208.0
870000000.0,941999300.0,-71999296.0
495000000.0,461018100.0,33981888.0
275000000.0,295854620.0,-20854624.0
300000000.0,353858020.0,-53858016.0
1440000000.0,793660600.0,646339392.0
764000000.0,790675000.0,-26675008.0
1200000000.0,1255560100.0,-55560064.0
764000000.0,765552300.0,-1552320.0
495000000.0,461018100.0,33981888.0
1500000000.0,1456961400.0,43038592.0
300000000.0,339886100.0,-39886112.0
365000000.0,339903600.0,25096384.0
350000000.0,341521760.0,8478240.0
351000000.0,341521760.0,9478240.0
393000000.0,339903600.0,53096384.0
392000000.0,500915550.0,-108915552.0
440000000.0,483798500.0,-43798496.0
351000000.0,341521760.0,9478240.0
401000000.0,503929380.0,-102929376.0
1990000000.0,1999358000.0,-9357952.0
1150000000.0,1602642400.0,-452642432.0
3200000000.0,3481947600.0,-281947648.0
950000000.0,951510340.0,-1510336.0
1500000000.0,1504541300.0,-4541312.0
1250000000.0,999737600.0,250262400.0
1200000000.0,1369772400.0,-169772416.0
3200000000.0,3444310500.0,-244310528.0
850000000.0,818826050.0,31173952.0
1280000000.0,1221649300.0,58350720.0
895000000.0,925461800.0,-30461824.0
1450000000.0,1556056400.0,-106056448.0
